Login,Nombres,ApellidoPaterno,ApellidoMaterno,Password,TipoUser_id,Status,fCreate,IDArea,LastLoginAttempt
jesusrodriguezAdmin,jesusrodriguezAdmin,jesusrodriguezAdmin,jesusrodriguezAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,04/06/2024 12:54
jhernandezAdmin,jhernandezAdmin,jhernandezAdmin,jhernandezAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
jnunezAdmin,jnunezAdmin,jnunezAdmin,jnunezAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,04/06/2024 12:55,1,04/06/2024 12:54
joseAdmin,joseAdmin,joseAdmin,joseAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,04/06/2024 12:54
jramirezAdmin,jramirezAdmin,jramirezAdmin,jramirezAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
jvazquezAdmin,jvazquezAdmin,jvazquezAdmin,jvazquezAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,04/06/2024 12:55,1,04/06/2024 12:54
jvelascoAdmin,jvelascoAdmin,jvelascoAdmin,jvelascoAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,04/06/2024 12:54
karenAdmin,karenAdmin,karenAdmin,karenAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
laloAdmin,laloAdmin,laloAdmin,laloAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,04/06/2024 12:55,1,04/06/2024 12:54
lizAdmin,lizAdmin,lizAdmin,lizAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,04/06/2024 12:54
lnavaAdmin,lnavaAdmin,lnavaAdmin,lnavaAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
lrangelAdmin,lrangelAdmin,lrangelAdmin,lrangelAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,04/06/2024 12:55,1,04/06/2024 12:54
luisAdmin,luisAdmin,luisAdmin,luisAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,04/06/2024 12:54
marcoAdmin,marcoAdmin,marcoAdmin,marcoAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
marcochagollaAdmin,marcochagollaAdmin,marcochagollaAdmin,marcochagollaAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,04/06/2024 12:55,1,04/06/2024 12:54
marcogarciaAdmin,marcogarciaAdmin,marcogarciaAdmin,marcogarciaAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,04/06/2024 12:54
mlievanaAdmin,mlievanaAdmin,mlievanaAdmin,mlievanaAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
omarAdmin,omarAdmin,omarAdmin,omarAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,04/06/2024 12:55,1,04/06/2024 12:54
omejiaAdmin,omejiaAdmin,omejiaAdmin,omejiaAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,04/06/2024 12:54
oscarAdmin,oscarAdmin,oscarAdmin,oscarAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
pacoAdmin,pacoAdmin,pacoAdmin,pacoAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,04/06/2024 12:55,1,04/06/2024 12:54
rodAdmin,rodAdmin,rodAdmin,rodAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,04/06/2024 12:54
rsalazarAdmin,rsalazarAdmin,rsalazarAdmin,rsalazarAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
to+¦oAdmin,to+¦oAdmin,to+¦oAdmin,to+¦oAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,04/06/2024 12:55,1,04/06/2024 12:54
uespinosaAdmin,uespinosaAdmin,uespinosaAdmin,uespinosaAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,04/06/2024 12:54
ulisesAdmin,ulisesAdmin,ulisesAdmin,ulisesAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
urielcabreraAdmin,urielcabreraAdmin,urielcabreraAdmin,urielcabreraAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,04/06/2024 12:55,1,04/06/2024 12:54
user01Admin,user01Admin,user01Admin,user01Admin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,03/10/2024 12:58
user02Admin,user02Admin,user02Admin,user02Admin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
user03Admin,user03Admin,user03Admin,user03Admin,0CC175B9C0F1B6A831C399E269772661,2,1,04/06/2024 12:55,1,04/06/2024 12:54
user04Admin,user04Admin,user04Admin,user04Admin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,04/06/2024 12:54
user05Admin,user05Admin,user05Admin,user05Admin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
user06Admin,user06Admin,user06Admin,user06Admin,0CC175B9C0F1B6A831C399E269772661,2,1,04/06/2024 12:55,1,04/06/2024 12:54
user07Admin,user07Admin,user07Admin,user07Admin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,04/06/2024 12:54
user08Admin,user08Admin,user08Admin,user08Admin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
user09Admin,user09Admin,user09Admin,user09Admin,0CC175B9C0F1B6A831C399E269772661,2,1,04/06/2024 12:55,1,04/06/2024 12:54
user10Admin,user10Admin,user10Admin,user10Admin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,04/06/2024 12:54
leoAdmin,leoAdmin,leoAdmin,leoAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
adriAgent,adriAgent,adriAgent,adriAgent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,04/06/2024 12:54
agarciaAgent,agarciaAgent,agarciaAgent,agarciaAgent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,04/06/2024 12:54
agonzalezAgent,agonzalezAgent,agonzalezAgent,agonzalezAgent,0CC175B9C0F1B6A831C399E269772661,1,3,04/06/2024 12:55,1,04/06/2024 12:54
alanAgent,alanAgent,alanAgent,alanAgent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,04/06/2024 12:54
alexAgent,alexAgent,alexAgent,alexAgent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,04/06/2024 12:54
armandAgent,armandAgent,armandAgent,armandAgent,0CC175B9C0F1B6A831C399E269772661,1,3,04/06/2024 12:55,1,04/06/2024 12:54
carlosAgent,carlosAgent,carlosAgent,carlosAgent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,04/06/2024 12:54
cechavezAgent,cechavezAgent,cechavezAgent,cechavezAgent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,04/06/2024 12:54
charlesAgent,charlesAgent,charlesAgent,charlesAgent,0CC175B9C0F1B6A831C399E269772661,1,3,04/06/2024 12:55,1,04/06/2024 12:54
daniAgent,daniAgent,daniAgent,daniAgent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,04/06/2024 12:54
davidAgent,davidAgent,davidAgent,davidAgent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,04/06/2024 12:54
efloresAgent,efloresAgent,efloresAgent,efloresAgent,0CC175B9C0F1B6A831C399E269772661,1,3,04/06/2024 12:55,1,04/06/2024 12:54
eguevaraAgent,eguevaraAgent,eguevaraAgent,eguevaraAgent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,04/06/2024 12:54
ericAgent,ericAgent,ericAgent,ericAgent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,04/06/2024 12:54
fabiAgent,fabiAgent,fabiAgent,fabiAgent,0CC175B9C0F1B6A831C399E269772661,1,3,04/06/2024 12:55,1,02/10/2024 17:10
fabianAgent,fabianAgent,fabianAgent,fabianAgent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,02/10/2024 17:09
fcotaAgent,fcotaAgent,fcotaAgent,fcotaAgent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,04/06/2024 12:54
fnajeraAgent,fnajeraAgent,fnajeraAgent,fnajeraAgent,0CC175B9C0F1B6A831C399E269772661,1,3,04/06/2024 12:55,1,04/06/2024 12:54
fridaAgent,fridaAgent,fridaAgent,fridaAgent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,04/06/2024 17:49
gabiAgent,gabiAgent,gabiAgent,gabiAgent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,04/06/2024 12:54
gcruzAgent,gcruzAgent,gcruzAgent,gcruzAgent,0CC175B9C0F1B6A831C399E269772661,1,3,04/06/2024 12:55,1,04/06/2024 12:54
gerardoAgent,gerardoAgent,gerardoAgent,gerardoAgent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,04/06/2024 12:54
gmoralesAgent,gmoralesAgent,gmoralesAgent,gmoralesAgent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,04/06/2024 12:54
gusAgent,gusAgent,gusAgent,gusAgent,0CC175B9C0F1B6A831C399E269772661,1,3,04/06/2024 12:55,1,04/06/2024 12:54
hugoAgent,hugoAgent,hugoAgent,hugoAgent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,03/10/2024 13:27
irisAgent,irisAgent,irisAgent,irisAgent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,04/06/2024 12:54
ivanAgent,ivanAgent,ivanAgent,ivanAgent,0CC175B9C0F1B6A831C399E269772661,1,3,04/06/2024 12:55,1,04/06/2024 12:54
jesusAgent,jesusAgent,jesusAgent,jesusAgent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,03/10/2024 12:44
jesus2Agent,jesus2Agent,jesus2Agent,jesus2Agent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,04/06/2024 12:54
jesuscastroAgent,jesuscastroAgent,jesuscastroAgent,jesuscastroAgent,0CC175B9C0F1B6A831C399E269772661,1,3,04/06/2024 12:55,1,04/06/2024 12:54
jesusrodriguezAgent,jesusrodriguezAgent,jesusrodriguezAgent,jesusrodriguezAgent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,04/06/2024 12:54
jhernandezAgent,jhernandezAgent,jhernandezAgent,jhernandezAgent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,04/06/2024 12:54
jnunezAgent,jnunezAgent,jnunezAgent,jnunezAgent,0CC175B9C0F1B6A831C399E269772661,1,3,04/06/2024 12:55,1,04/06/2024 12:54
joseAgent,joseAgent,joseAgent,joseAgent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,04/06/2024 12:54
jramirezAgent,jramirezAgent,jramirezAgent,jramirezAgent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,04/06/2024 12:54
jvazquezAgent,jvazquezAgent,jvazquezAgent,jvazquezAgent,0CC175B9C0F1B6A831C399E269772661,1,3,04/06/2024 12:55,1,04/06/2024 12:54
jvelascoAgent,jvelascoAgent,jvelascoAgent,jvelascoAgent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,04/06/2024 12:54
karenAgent,karenAgent,karenAgent,karenAgent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,04/06/2024 12:54
laloAgent,laloAgent,laloAgent,laloAgent,0CC175B9C0F1B6A831C399E269772661,1,3,04/06/2024 12:55,1,04/06/2024 12:54
lizAgent,lizAgent,lizAgent,lizAgent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,04/06/2024 12:55
lnavaAgent,lnavaAgent,lnavaAgent,lnavaAgent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,04/06/2024 12:55
lrangelAgent,lrangelAgent,lrangelAgent,lrangelAgent,0CC175B9C0F1B6A831C399E269772661,1,3,04/06/2024 12:55,1,04/06/2024 12:55
luisAgent,luisAgent,luisAgent,luisAgent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,04/06/2024 12:55
marcoAgent,marcoAgent,marcoAgent,marcoAgent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,04/06/2024 12:55
marcochagollaAgent,marcochagollaAgent,marcochagollaAgent,marcochagollaAgent,0CC175B9C0F1B6A831C399E269772661,1,3,04/06/2024 12:55,1,04/06/2024 12:55
marcogarciaAgent,marcogarciaAgent,marcogarciaAgent,marcogarciaAgent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,04/06/2024 12:55
mlievanaAgent,mlievanaAgent,mlievanaAgent,mlievanaAgent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,04/06/2024 12:55
omarAgent,omarAgent,omarAgent,omarAgent,0CC175B9C0F1B6A831C399E269772661,1,3,04/06/2024 12:55,1,04/06/2024 12:55
omejiaAgent,omejiaAgent,omejiaAgent,omejiaAgent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,04/06/2024 12:55
oscarAgent,oscarAgent,oscarAgent,oscarAgent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,04/06/2024 12:55
pacoAgent,pacoAgent,pacoAgent,pacoAgent,0CC175B9C0F1B6A831C399E269772661,1,3,04/06/2024 12:55,1,04/06/2024 12:55
rodAgent,rodAgent,rodAgent,rodAgent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,04/06/2024 12:55
rsalazarAgent,rsalazarAgent,rsalazarAgent,rsalazarAgent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,04/06/2024 12:55
to+¦oAgent,to+¦oAgent,to+¦oAgent,to+¦oAgent,0CC175B9C0F1B6A831C399E269772661,1,3,04/06/2024 12:55,1,04/06/2024 12:55
uespinosaAgent,uespinosaAgent,uespinosaAgent,uespinosaAgent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,04/06/2024 12:55
ulisesAgent,ulisesAgent,ulisesAgent,ulisesAgent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,04/06/2024 12:55
urielcabreraAgent,urielcabreraAgent,urielcabreraAgent,urielcabreraAgent,0CC175B9C0F1B6A831C399E269772661,1,3,04/06/2024 12:55,1,04/06/2024 12:55
user01Agent,user01Agent,user01Agent,user01Agent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,04/06/2024 17:48
user02Agent,user02Agent,user02Agent,user02Agent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,04/06/2024 12:55
user03Agent,user03Agent,user03Agent,user03Agent,0CC175B9C0F1B6A831C399E269772661,1,3,04/06/2024 12:55,1,04/06/2024 12:55
user04Agent,user04Agent,user04Agent,user04Agent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,04/06/2024 12:55
user05Agent,user05Agent,user05Agent,user05Agent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,02/10/2024 17:05
user06Agent,user06Agent,user06Agent,user06Agent,0CC175B9C0F1B6A831C399E269772661,1,3,04/06/2024 12:55,1,04/06/2024 12:55
user07Agent,user07Agent,user07Agent,user07Agent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,04/06/2024 12:55
user08Agent,user08Agent,user08Agent,user08Agent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,04/06/2024 12:55
user09Agent,user09Agent,user09Agent,user09Agent,0CC175B9C0F1B6A831C399E269772661,1,3,04/06/2024 12:55,1,04/06/2024 12:55
user10Agent,user10Agent,user10Agent,user10Agent,0CC175B9C0F1B6A831C399E269772661,1,1,04/06/2024 12:55,1,04/06/2024 12:55
leoAgent,leoAgent,leoAgent,leoAgent,0CC175B9C0F1B6A831C399E269772661,1,2,04/06/2024 12:55,1,04/06/2024 12:55
